Wavelength,Excitation,Emission
559,9.275650919,0
560,9.625130682,0
561,9.973614776,0
562,9.974610445,0
563,10.32409021,0
564,10.32508588,0
565,11.02304973,0
566,11.3725295,0
567,11.72101359,0
568,12.41997312,0
569,12.76845721,0
570,13.11793697,0
571,13.46741674,0
572,14.16538059,0
573,14.51486036,0
574,15.21282421,0
575,15.91078807,0
576,16.95823169,0
577,17.65619555,0
578,18.00467964,0
579,19.74909145,0
580,20.44805098,0
581,21.49449893,0
582,22.19246279,0
583,22.89042664,0
584,23.5883905,0
585,24.63583412,0
586,25.33379798,0
587,26.03176184,0
588,27.07820979,0
589,27.77617364,0
590,28.82361726,0
591,29.52158112,0
592,30.21954498,0
593,30.56902474,0
594,31.2669886,0
595,31.96495246,0
596,32.31443222,0
597,33.01239608,0
598,33.01339175,0
599,33.36187584,0
600,33.7113556,0
601,33.71235127,0
602,33.71235127,0
603,33.71334694,0
604,33.71334694,0
605,33.71434261,0
606,33.36585852,0
607,33.71533828,0
608,33.71633395,0
609,34.06581371,0
610,34.06581371,0
611,34.41529347,0
612,34.76477324,0
613,35.114253,0
614,35.81221686,0
615,37.20814457,0
616,37.90610843,0
617,39.30104047,0.941448674
618,40.34848409,0.941448674
619,42.0928959,0.942445971
620,43.48782795,1.292497332
621,45.05799771,1.292497332
622,47.15089361,1.642548693
623,48.89530542,1.992600054
624,51.33668542,1.992600054
625,53.77906108,2.342651415
626,56.91840494,2.867229807
627,59.01130084,3.217281168
628,62.49912879,3.916386592
629,64.59202469,4.266437953
630,66.6849206,5.315594738
631,70.17374421,6.014700163
632,71.91815602,6.713805587
633,75.40598397,8.461070499
634,78.54532782,9.85828405
635,82.03315577,11.60554896
636,84.47553144,13.00375981
637,87.78911734,15.79918421
638,89.88201324,17.54545183
639,91.97490915,19.29271674
640,94.41628914,23.13630063
641,95.81221686,26.28077909
642,97.55662867,30.47241974
643,98.60307662,33.26784414
644,99.99900433,38.15859022
645,100,41.30306868
646,100,46.36933909
647,100,49.86287162
648,99.65151591,55.80177718
649,98.25757953,59.29530971
650,96.86364315,63.83700173
651,94.42325882,69.42685323
652,91.63339473,72.92038575
653,87.4485986,78.16118319
654,85.00821427,78.16118319
655,82.39259222,87.41909425
656,77.86030766,88.8173051
657,74.02399562,93.35899712
658,68.7937472,94.75621067
659,65.30691492,96.15442152
660,59.72818241,98.25074049
661,56.24035446,99.29889998
662,52.75352218,99.99800541
663,47.17478966,99.9990027
664,43.16423558,100
665,38.28247125,100
666,35.84208692,99.30189187
667,31.30880669,98.60378375
668,28.86842236,97.90567562
669,26.42803803,95.81035394
670,22.94120575,94.41314039
671,20.84930552,91.61971058
672,17.71095734,89.87344297
673,15.6190571,85.33374555
674,13.17867277,84.11105903
675,11.78374073,81.66668329
676,10.73828845,77.825094
677,8.994872305,75.37972096
678,7.949420023,71.1890776
679,6.555483646,68.74370456
680,5.858515458,63.15584765
681,4.813063175,61.7586341
682,4.464579081,59.31425836
683,3.419126798,55.82172313
684,3.070642704,53.72640145
685,2.897396326,50.23386622
686,2.548912232,48.48759861
687,2.200428138,45.34511474
688,1.851944043,43.77337416
689,1.504455618,41.67805248
690,1.504455618,39.23367674
691,1.156967193,37.83646318
692,1.156967193,35.39208744
693,1.157962862,34.34492525
694,1.157962862,31.90054951
695,0,31.20244138
696,0,30.1542819
697,0,28.75806564
698,0,28.05995752
699,0,26.66374126
700,0,26.3146872
701,0,24.91847094
702,0,24.56941688
703,0,23.17220333
704,0,22.82414656
705,0,22.4750925
706,0,22.12603844
707,0,21.77698437
708,0,21.42892761
709,0,21.07987354
710,0,20.38176542
711,0,20.38276271
712,0,20.03370865
713,0,19.68565188
714,0,19.68565188
715,0,19.33759512
716,0,19.33759512
717,0,18.98953835
718,0,18.98953835
719,0,18.64048429
720,0,18.64148158
721,0,18.29242752
722,0,18.29342482
723,0,17.94437076
724,0,17.59631399
725,0,17.59631399
726,0,16.89820586
727,0,16.89920316
728,0,16.5501491
729,0,16.20109503
730,0,15.85204097
731,0,15.5039842
732,0,15.15493014
733,0,14.45781931
734,0,14.45781931
735,0,14.10876525
736,0,13.75971118
737,0,13.41165442
738,0,13.06260035
739,0,12.71354629
740,0,11.6673814
741,0,11.6673814
742,0,11.31832733
743,0,10.96927327
744,0,10.6212165
745,0,10.27216244
746,0,9.923108376
747,0,9.57505161
748,0,9.225997547
749,0,8.52788942
750,0,8.528886717
751,0,8.179832654
752,0,7.83077859
753,0,7.482721824
754,0,7.13366776
755,0,6.785610994
756,0,6.436556931
757,0,6.436556931
758,0,6.088500165
759,0,6.088500165
760,0,5.739446101
761,0,5.391389335
762,0,5.391389335
763,0,4.694278505
764,0,4.694278505
765,0,4.345224442
766,0,4.346221739
767,0,4.346221739
768,0,3.998164973
769,0,3.99916227
770,0,3.650108207
771,0,3.651105504
772,0,3.651105504
773,0,3.651105504
774,0,3.303048738
775,0,3.303048738
776,0,2.954991972
777,0,2.955989269
778,0,2.955989269
779,0,2.956986566
780,0,2.956986566
781,0,2.956986566
782,0,2.783456832
783,0,2.784454129
784,0,2.784454129
785,0,2.785451427
786,0,2.786448724
787,0,2.786448724
788,0,2.43739466
789,0,2.438391958
790,0,2.439389255
791,0,2.439389255
792,0,2.440386552
793,0,2.440386552
794,0,2.44138385
795,0,2.442381147
796,0,2.442381147
797,0,2.442381147
798,0,2.094324381
799,0,2.094324381
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
